Picture,FragID,Genotype,file,AOI,Tank
1,1727O,1727,00001 1727_1738,1,T1
1,1738F,1738,00001 1727_1738,2,T1
1,1758A,1758,00001 1727_1738,3,T1
1,1741L,1741,00001 1727_1738,4,T1
1,1737K,1737,00001 1727_1738,5,T1
2,1741F,1741,00002 1741_1733,1,T1
2,1733K,1733,00002 1741_1733,2,T1
2,1727G,1727,00002 1741_1733,3,T1
2,1753N,1753,00002 1741_1733,4,T1
2,1721H,1721,00002 1741_1733,5,T1
3,1736A,1736,00003 1736_1743,1,T1
3,1743J,1743,00003 1736_1743,2,T1
3,1731M,1731,00003 1736_1743,3,T1
3,1722C,1722,00003 1736_1743,4,T1
3,1733E,1733,00003 1736_1743,5,T1
3,1730G,1730,00003 1736_1743,6,T1
3,1759B,1759,00003 1736_1743,7,T1
3,1727N,1727,00003 1736_1743,8,T1
3,1722G,1722,00003 1736_1743,9,T1
3,1732E,1732,00003 1736_1743,10,T1
4,1750N,1750,00004 1750_1732,1,T1
4,1732A,1732,00004 1750_1732,2,T1
4,1745F,1745,00004 1750_1732,3,T1
4,1748K,1748,00004 1750_1732,4,T1
4,1721J,1721,00004 1750_1732,5,T1
4,1747O,1747,00004 1750_1732,6,T1
4,1735E,1735,00004 1750_1732,7,T1
4,1750B,1750,00004 1750_1732,8,T1
4,1759H,1759,00004 1750_1732,9,T1
4,1721N,1721,00004 1750_1732,10,T1
5,1731L,1731,00005 1731_1747,1,T1
5,1747G,1747,00005 1731_1747,2,T1
5,1751H,1751,00005 1731_1747,3,T1
5,1726M,1726,00005 1731_1747,4,T1
5,1732G,1732,00005 1731_1747,5,T1
5,1745J,1745,00005 1731_1747,6,T1
5,1758O,1758,00005 1731_1747,7,T1
5,1735B,1735,00005 1731_1747,8,T1
5,1759A,1759,00005 1731_1747,9,T1
5,1735D,1735,00005 1731_1747,10,T1
6,1753K,1753,00006 1753_1741,1,T1
6,1741A,1741,00006 1753_1741,2,T1
6,1728H,1728,00006 1753_1741,3,T1
6,1735G,1735,00006 1753_1741,4,T1
6,1736H,1736,00006 1753_1741,5,T1
7,1725B,1725,00007 1725_1731,1,T1
7,1731A,1731,00007 1725_1731,2,T1
7,1734O,1734,00007 1725_1731,3,T1
7,1735O,1735,00007 1725_1731,4,T1
7,1757O,1757,00007 1725_1731,5,T1
8,1743M,1743,00008 1743_1734,1,T1
8,1734J,1734,00008 1743_1734,2,T1
8,1745G,1745,00008 1743_1734,3,T1
8,1734O,1734,00008 1743_1734,4,T1
8,1737B,1737,00008 1743_1734,5,T1
8,1739B,1739,00008 1743_1734,6,T1
8,1722I,1722,00008 1743_1734,7,T1
8,1737M,1737,00008 1743_1734,8,T1
8,1752J,1752,00008 1743_1734,9,T1
9,1734H,1734,00009 1734_1751,1,T1
9,1751D,1751,00009 1734_1751,2,T1
9,1729M,1729,00009 1734_1751,3,T1
9,1722J,1722,00009 1734_1751,4,T1
9,1757E,1757,00009 1734_1751,5,T1
9,1732O,1732,00009 1734_1751,6,T1
9,1753A,1753,00009 1734_1751,7,T1
9,1734C,1734,00009 1734_1751,8,T1
9,1748A,1748,00009 1734_1751,9,T1
