Picture,FragID,Genotype,file,AOI,Tank
1,1758O,1758,1 1758_1745,1,T1
1,1745J,1745,1 1758_1745,2,T1
1,1722G,1722,1 1758_1745,3,T1
1,1759H,1759,1 1758_1745,4,T1
1,1735E,1735,1 1758_1745,5,T1
1,1750N,1750,1 1758_1745,6,T1
1,1732A,1732,1 1758_1745,7,T1
1,1721J,1721,1 1758_1745,8,T1
1,1733E,1733,1 1758_1745,9,T1
1,1721N,1721,1 1758_1745,10,T1
2,1743J,1743,2 1743_1753,1,T1
2,1753N,1753,2 1743_1753,2,T1
2,1733K,1733,2 1743_1753,3,T1
2,1737K,1737,2 1743_1753,4,T1
2,1741L,1741,2 1743_1753,5,T1
2,1727O,1727,2 1743_1753,6,T1
2,1721H,1721,2 1743_1753,7,T1
2,1722C,1722,2 1743_1753,8,T1
2,1730G,1730,2 1743_1753,9,T1
2,1727N,1727,2 1743_1753,10,T1
3,1748K,1748,3 1748_1747_2,1,T1
3,1747G,1747,3 1748_1747_2,2,T1
3,1747O,1747,3 1748_1747_2,3,T1
3,1736A,1736,3 1748_1747_2,4,T1
3,1751H,1751,3 1748_1747_2,5,T1
3,1732G,1732,3 1748_1747_2,6,T1
3,1725B,1725,3 1748_1747_2,7,T1
3,1753K,1753,3 1748_1747_2,8,T1
3,1731A,1731,3 1748_1747_2,9,T1
3,1735B,1735,3 1748_1747_2,10,T1
4,1752J,1752,4 1752_1735,1,T1
4,1735G,1735,4 1752_1735,2,T1
4,1759A,1759,4 1752_1735,3,T1
4,1757O,1757,4 1752_1735,4,T1
4,1728H,1728,4 1752_1735,5,T1
5,1729G,1729,5 1729_1734,1,T1
5,1734O,1734,5 1729_1734,2,T1
5,1727G,1727,5 1729_1734,3,T1
5,1748A,1748,5 1729_1734,4,T1
5,1741A,1741,5 1729_1734,5,T1
6,1737B,1737,6 1737_1734,1,T1
6,1734J,1734,6 1737_1734,2,T1
6,1723O,1723,6 1737_1734,3,T1
6,1737M,1737,6 1737_1734,4,T1
6,1745F,1745,6 1737_1734,5,T1
6,1731L,1731,6 1737_1734,6,T1
