Picture,FragID,Genotype,file,AOI,Tank,Box
1,1721J,1721,1 1721_1751,1,T1,BIG
1,1751H,1751,1 1721_1751,2,T1,BIG
1,1738L,1738,1 1721_1751,3,T1,BIG
1,1753K,1753,1 1721_1751,4,T1,BIG
1,1737F,1737,1 1721_1751,5,T1,BIG
1,1739F,1739,1 1721_1751,6,T1,BIG
1,1734H,1734,1 1721_1751,7,T1,BIG
1,1723O,1723,1 1721_1751,8,T1,BIG
1,1723F,1723,1 1721_1751,9,T1,BIG
1,1757E,1757,1 1721_1751,10,T1,BIG
2,1738E,1738,2 1738_1748,1,T1,MEDIUM
2,1748K,1748,2 1738_1748,2,T1,MEDIUM
2,1725D,1725,2 1738_1748,3,T1,MEDIUM
2,1733E,1733,2 1738_1748,4,T1,MEDIUM
2,1743J,1743,2 1738_1748,5,T1,MEDIUM
2,1721H,1721,2 1738_1748,6,T1,MEDIUM
2,1737B,1737,2 1738_1748,7,T1,MEDIUM
2,1728I,1728,2 1738_1748,8,T1,MEDIUM
2,1728H,1728,2 1738_1748,9,T1,MEDIUM
2,1745F,1745,2 1738_1748,10,T1,MEDIUM
3,1727O,1727,3 1727_1747,1,T1,BIG
3,1747O,1747,3 1727_1747,2,T1,BIG
3,1738F,1738,3 1727_1747,3,T1,BIG
3,1735G,1735,3 1727_1747,4,T1,BIG
3,1725B,1725,3 1727_1747,5,T1,BIG
3,1739C,1739,3 1727_1747,6,T1,BIG
3,1727I,1727,3 1727_1747,7,T1,BIG
3,1726M,1726,3 1727_1747,8,T1,BIG
3,1734J,1734,3 1727_1747,9,T1,BIG
3,1731L,1731,3 1727_1747,10,T1,BIG
4,1736A,1736,4 1736_1732,1,T1,SMALL
4,1732A,1732,4 1736_1732,2,T1,SMALL
4,1727N,1727,4 1736_1732,3,T1,SMALL
4,1721O,1721,4 1736_1732,4,T1,SMALL
4,1752H,1752,4 1736_1732,5,T1,SMALL
4,1729M,1729,4 1736_1732,6,T1,SMALL
4,1732G,1732,4 1736_1732,7,T1,SMALL
4,1748M,1748,4 1736_1732,8,T1,SMALL
4,1753G,1753,4 1736_1732,9,T1,SMALL
5,1736E,1736,5 1736_1757,1,T1,SMALL
5,1757O,1757,5 1736_1757,2,T1,SMALL
5,1752J,1752,5 1736_1757,3,T1,SMALL
