Picture,FragID,Genotype,file,AOI,Tank
1,1732H,1732,1 1732_1732,1,T1
1,1732G,1732,1 1732_1732,2,T1
1,1759L,1759,1 1732_1732,3,T1
1,1731G,1731,1 1732_1732,4,T1
1,1745I,1745,1 1732_1732,5,T1
1,1750H,1750,1 1732_1732,6,T1
1,1730G,1730,1 1732_1732,7,T1
1,1735B,1735,1 1732_1732,8,T1
1,1728I,1728,1 1732_1732,9,T1
1,1747L,1747,1 1732_1732,10,T1
2,1731L,1731,2 1731_1735,1,T1
2,1735D,1735,2 1731_1735,2,T1
2,1745F,1745,2 1731_1735,3,T1
2,1751D,1751,2 1731_1735,4,T1
2,1725B,1725,2 1731_1735,5,T1
2,1733E,1733,2 1731_1735,6,T1
2,1748K,1748,2 1731_1735,7,T1
2,1723F,1723,2 1731_1735,8,T1
2,1726M,1726,2 1731_1735,9,T1
2,1755G,1755,2 1731_1735,10,T1
3,1729A,1729,3 1729_1732,1,T1
3,1732O,1732,3 1729_1732,2,T1
3,1757D,1757,3 1729_1732,3,T1
3,1722J,1722,3 1729_1732,4,T1
3,1733K,1733,3 1729_1732,5,T1
3,1738E,1738,3 1729_1732,6,T1
3,1734O,1734,3 1729_1732,7,T1
3,1753N,1753,3 1729_1732,8,T1
3,1722I,1722,3 1729_1732,9,T1
3,1727I,1727,3 1729_1732,10,T1
4,1739F,1739,4 1739_1752,1,T1
4,1752J,1752,4 1739_1752,2,T1
4,1727O,1727,4 1739_1752,3,T1
4,1757E,1757,4 1739_1752,4,T1
4,1741L,1741,4 1739_1752,5,T1
4,1737M,1737,4 1739_1752,6,T1
4,1721H,1721,4 1739_1752,7,T1
4,1739B,1739,4 1739_1752,8,T1
4,1738L,1738,4 1739_1752,9,T1
4,1722C,1722,4 1739_1752,10,T1
5,1736E,1736,5 1736_1728,1,T1
5,1728H,1728,5 1736_1728,2,T1
5,1734H,1734,5 1736_1728,3,T1
5,1737K,1737,5 1736_1728,4,T1
5,1745J,1745,5 1736_1728,5,T1
5,1734J,1734,5 1736_1728,6,T1
5,1727N,1727,5 1736_1728,7,T1
5,1752H,1752,5 1736_1728,8,T1
5,1721J,1721,5 1736_1728,9,T1
5,1747O,1747,5 1736_1728,10,T1
6,1748M,1748,6 1748_1757,1,T1
6,1757O,1757,6 1748_1757,2,T1
6,1727G,1727,6 1748_1757,3,T1
6,1737B,1737,6 1748_1757,4,T1
6,1735O,1735,6 1748_1757,5,T1
6,1751H,1751,6 1748_1757,6,T1
6,1743J,1743,6 1748_1757,7,T1
6,1723O,1723,6 1748_1757,8,T1
6,1741A,1741,6 1748_1757,9,T1
6,1732A,1732,6 1748_1757,10,T1
7,1739C,1739,7 1759_1759,1,T1
7,1758B,1758,7 1759_1759,2,T1
7,1755D,1755,7 1759_1759,3,T1
7,1728F,1728,7 1759_1759,4,T1
7,1721O,1721,7 1759_1759,5,T1
7,1758O,1758,7 1759_1759,6,T1
7,1729G,1729,7 1759_1759,7,T1
7,1735G,1735,7 1759_1759,8,T1
7,1750N,1750,7 1759_1759,9,T1
7,1759A,1759,7 1759_1759,10,T1
8,1743M,1743,8 1743_1747,1,T1
8,1747G,1747,8 1743_1747,2,T1
8,1736A,1736,8 1743_1747,3,T1
8,1729M,1729,8 1743_1747,4,T1
8,1722D,1722,8 1743_1747,5,T1
8,1737A,1737,8 1743_1747,6,T1
9,1753K,1753,9 1753_1751,1,T1
9,1731A,1731,9 1753_1751,2,T1
9,1748A,1748,9 1753_1751,3,T1
9,1759H,1759,9 1753_1751,4,T1
9,1721N,1721,9 1753_1751,5,T1
9,1736H,1736,9 1753_1751,6,T1
9,1753G,1753,9 1753_1751,7,T1
9,1738A,1738,9 1753_1751,8,T1
9,1751B,1751,9 1753_1751,9,T1
10,1722N,1722,10 1722_1759,1,T2
10,1759E,1759,10 1722_1759,2,T2
10,1757F,1757,10 1722_1759,3,T2
10,1737G,1737,10 1722_1759,4,T2
10,1731O,1731,10 1722_1759,5,T2
10,1729E,1729,10 1722_1759,6,T2
10,1727C,1727,10 1722_1759,7,T2
10,1738N,1738,10 1722_1759,8,T2
10,1751M,1751,10 1722_1759,9,T2
10,1733O,1733,10 1722_1759,10,T2
11,1745D,1745,11 1745_1743,1,T2
11,1743G,1743,11 1745_1743,2,T2
11,1757N,1757,11 1745_1743,3,T2
11,1738O,1738,11 1745_1743,4,T2
11,1738J,1738,11 1745_1743,5,T2
11,1732C,1732,11 1745_1743,6,T2
11,1753F,1753,11 1745_1743,7,T2
11,1739H,1739,11 1745_1743,8,T2
11,1721M,1721,11 1745_1743,9,T2
11,1734B,1734,11 1745_1743,10,T2
12,1743L,1743,12 1743_1732,1,T2
12,1732E,1732,12 1743_1732,2,T2
12,1747D,1747,12 1743_1732,3,T2
12,1739K,1739,12 1743_1732,4,T2
12,1728G,1728,12 1743_1732,5,T2
12,1736N,1736,12 1743_1732,6,T2
12,1747B,1747,12 1743_1732,7,T2
12,1729O,1729,12 1743_1732,8,T2
12,1735N,1735,12 1743_1732,9,T2
12,1759G,1759,12 1743_1732,10,T2
13,1727H,1727,13 1727_1751,1,T2
13,1751A,1751,13 1727_1751,2,T2
13,1721D,1721,13 1727_1751,3,T2
13,1726E,1726,13 1727_1751,4,T2
13,1731J,1731,13 1727_1751,5,T2
13,1745N,1745,13 1727_1751,6,T2
13,1732F,1732,13 1727_1751,7,T2
13,1758D,1758,13 1727_1751,8,T2
13,1723M,1723,13 1727_1751,9,T2
13,1741C,1741,13 1727_1751,10,T2
14,1750J,1750,14 1758_1759,1,T2
14,1739D,1739,14 1758_1759,2,T2
14,1725G,1725,14 1758_1759,3,T2
14,1747K,1747,14 1758_1759,4,T2
14,1736F,1736,14 1758_1759,5,T2
14,1732J,1732,14 1758_1759,6,T2
14,1759K,1759,14 1758_1759,7,T2
14,1737E,1737,14 1758_1759,8,T2
14,1753E,1753,14 1758_1759,9,T2
15,1722L,1722,15 1722_1759_2,1,T2
15,1759I,1759,15 1722_1759_2,2,T2
15,1752D,1752,15 1722_1759_2,3,T2
15,1753M,1753,15 1722_1759_2,4,T2
15,1738I,1738,15 1722_1759_2,5,T2
15,1755F,1755,15 1722_1759_2,6,T2
15,1737C,1737,15 1722_1759_2,7,T2
15,1741H,1741,15 1722_1759_2,8,T2
15,1745L,1745,15 1722_1759_2,9,T2
15,1721B,1721,15 1722_1759_2,10,T2
16,1758E,1758,16 1758_1722,1,T2
16,1722B,1722,16 1758_1722,2,T2
16,1735L,1735,16 1758_1722,3,T2
16,1732M,1732,16 1758_1722,4,T2
16,1755M,1755,16 1758_1722,5,T2
16,1737O,1737,16 1758_1722,6,T2
16,1751J,1751,16 1758_1722,7,T2
16,1728B,1728,16 1758_1722,8,T2
16,1748C,1748,16 1758_1722,9,T2
17,1753C,1753,17 1753_1748,1,T2
17,1748H,1748,17 1753_1748,2,T2
17,1733A,1733,17 1753_1748,3,T2
17,1741J,1741,17 1753_1748,4,T2
17,1735H,1735,17 1753_1748,5,T2
17,1723K,1723,17 1753_1748,6,T2
17,1734N,1734,17 1753_1748,7,T2
17,1748L,1748,17 1753_1748,8,T2
17,1743E,1743,17 1753_1748,9,T2
18,1721E,1721,18 1721_1727,1,T2
18,1727K,1727,18 1721_1727,2,T2
18,1728D,1728,18 1721_1727,3,T2
18,1750D,1750,18 1721_1727,4,T2
18,1734D,1734,18 1721_1727,5,T2
18,1752G,1752,18 1721_1727,6,T2
18,1723E,1723,18 1721_1727,7,T2
18,1727M,1727,18 1721_1727,8,T2
19,1737H,1737,19 1737_1752,1,T3
19,1752I,1752,19 1737_1752,2,T3
19,1722K,1722,19 1737_1752,3,T3
19,1758L,1758,19 1737_1752,4,T3
19,1733H,1733,19 1737_1752,5,T3
19,1727B,1727,19 1737_1752,6,T3
19,1735F,1735,19 1737_1752,7,T3
19,1759O,1759,19 1737_1752,8,T3
19,1738D,1738,19 1737_1752,9,T3
20,1753L,1753,20 1753_1745,1,T3
20,1745M,1745,20 1753_1745,2,T3
20,1722M,1722,20 1753_1745,3,T3
20,1755K,1755,20 1753_1745,4,T3
20,1734A,1734,20 1753_1745,5,T3
20,1750F,1750,20 1753_1745,6,T3
20,1726G,1726,20 1753_1745,7,T3
20,1726L,1726,20 1753_1745,8,T3
20,1725C,1725,20 1753_1745,9,T3
21,1723I,1723,21 1723_1759,1,T3
21,1759F,1759,21 1723_1759,2,T3
21,1729D,1729,21 1723_1759,3,T3
21,1733I,1733,21 1723_1759,4,T3
21,1728L,1728,21 1723_1759,5,T3
21,1733C,1733,21 1723_1759,6,T3
21,1747F,1747,21 1723_1759,7,T3
21,1735A,1735,21 1723_1759,8,T3
21,1721F,1721,21 1723_1759,9,T3
22,1750L,1750,22 1750_1734,1,T3
22,1734G,1734,22 1750_1734,2,T3
22,1753J,1753,22 1750_1734,3,T3
22,1739O,1739,22 1750_1734,4,T3
22,1729K,1729,22 1750_1734,5,T3
22,1748J,1748,22 1750_1734,6,T3
22,1737L,1737,22 1750_1734,7,T3
22,1752A,1752,22 1750_1734,8,T3
22,1755A,1755,22 1750_1734,9,T3
23,1728O,1728,23 1728_1753,1,T3
23,1753H,1753,23 1728_1753,2,T3
23,1743H,1743,23 1728_1753,3,T3
23,1748G,1748,23 1728_1753,4,T3
23,1748O,1748,23 1728_1753,5,T3
23,1743O,1743,23 1728_1753,6,T3
23,1741N,1741,23 1728_1753,7,T3
23,1736O,1736,23 1728_1753,8,T3
23,1721K,1721,23 1728_1753,9,T3
24,1732N,1732,24 1732_1753,1,T3
24,1753O,1753,24 1732_1753,2,T3
24,1727A,1727,24 1732_1753,3,T3
24,1757K,1757,24 1732_1753,4,T3
24,1752N,1752,24 1732_1753,5,T3
24,1731E,1731,24 1732_1753,6,T3
24,1732I,1732,24 1732_1753,7,T3
24,1721L,1721,24 1732_1753,8,T3
25,1732L,1732,25 1732_1734,1,T3
25,1734L,1734,25 1732_1734,2,T3
25,1722O,1722,25 1732_1734,3,T3
25,1722A,1722,25 1732_1734,4,T3
25,1758H,1758,25 1732_1734,5,T3
25,1747J,1747,25 1732_1734,6,T3
25,1727J,1727,25 1732_1734,7,T3
25,1747E,1747,25 1732_1734,8,T3
26,1745K,1745,26 1745_1737,1,T3
26,1737I,1737,26 1745_1737,2,T3
26,1725J,1725,26 1745_1737,3,T3
26,1731I,1731,26 1745_1737,4,T3
26,1735I,1735,26 1745_1737,5,T3
