Genotype ,ID,
1721,A,1721-A
1721,B,1721-B
1721,C,1721-C
1721,D,1721-D
1721,F,1721-F
1721,G,1721-G
1721,H,1721-H
1721,I,1721-I
1721,J,1721-J
1721,K,1721-K
1721,L,1721-L
1721,M,1721-M
1721,N,1721-N
1721,O,1721-O
1722,A,1722-A
1722,B,1722-B
1722,C,1722-C
1722,D,1722-D
1722,E,1722-E
1722,G,1722-G
1722,H,1722-H
1722,I,1722-I
1722,J,1722-J
1722,K,1722-K
1722,L,1722-L
1722,M,1722-M
1722,N,1722-N
1722,O,1722-O
1723,B,1723-B
1723,D,1723-D
1723,F,1723-F
1723,G,1723-G
1723,G,1723-G
1723,K,1723-K
1723,L,1723-L
1723,M,1723-M
1723,N,1723-N
1723,O,1723-O
1725,B,1725-B
1725,C,1725-C
1725,G,1725-G
1725,G,1725-G
1725,H,1725-H
1725,J,1725-J
1726,B,1726-B
1726,D,1726-D
1726,E,1726-E
1726,G,1726-G
1726,K,1726-K
1726,L,1726-L
1726,M,1726-M
1726,N,1726-N
1727,A,1727-A
1727,B,1727-B
1727,C,1727-C
1727,D,1727-D
1727,E,1727-E
1727,F,1727-F
1727,G,1727-G
1727,H,1727-H
1727,I,1727-I
1727,J,1727-J
1727,K,1727-K
1727,L,1727-L
1727,M,1727-M
1727,N,1727-N
1727,O,1727-O
1728,A,1728-A
1728,B,1728-B
1728,C,1728-C
1728,D,1728-D
1728,E,1728-E
1728,G,1728-G
1728,H,1728-H
1728,I,1728-I
1728,J,1728-J
1728,L,1728-L
1728,N,1728-N
1728,O,1728-O
1729,A,1729-A
1729,B,1729-B
1729,D,1729-D
1729,E,1729-E
1729,G,1729-G
1729,J,1729-J
1729,K,1729-K
1729,M,1729-M
1729,O,1729-O
1730,G,1730-G
1731,A,1731-A
1731,B,1731-B
1731,E,1731-E
1731,G,1731-G
1731,H,1731-H
1731,I,1731-I
1731,J,1731-J
1731,K,1731-K
1731,L,1731-L
1731,M,1731-M
1731,O,1731-O
1732,A,1732-A
1732,B,1732-B
1732,C,1732-C
1732,D,1732-D
1732,E,1732-E
1732,F,1732-F
1732,G,1732-G
1732,H,1732-H
1732,I,1732-I
1732,K,1732-K
1732,L,1732-L
1732,M,1732-M
1732,N,1732-N
1732,O,1732-O
1733,A,1733-A
1733,C,1733-C
1733,E,1733-E
1733,G,1733-G
1733,H,1733-H
1733,K,1733-K
1733,L,1733-L
1733,M,1733-M
1733,O,1733-O
1734,A,1734-A
1734,B,1734-B
1734,C,1734-C
1734,D,1734-D
1734,E,1734-E
1734,G,1734-G
1734,H,1734-H
1734,J,1734-J
1734,K,1734-K
1734,L,1734-L
1734,N,1734-N
1734,O,1734-O
1735,A,1735-A
1735,C,1735-C
1735,D,1735-D
1735,D,1735-D
1735,E,1735-E
1735,F,1735-F
1735,H,1735-H
1735,I,1735-I
1735,J,1735-J
1735,L,1735-L
1735,M,1735-M
1735,N,1735-N
1735,O,1735-O
1736,A,1736-A
1736,B,1736-B
1736,C,1736-C
1736,E,1736-E
1736,F,1736-F
1736,H,1736-H
1736,J,1736-J
1736,N,1736-N
1736,O,1736-O
1737,A,1737-A
1737,B,1737-B
1737,C,1737-C
1737,D,1737-D
1737,E,1737-E
1737,F,1737-F
1737,G,1737-G
1737,G,1737-G
1737,H,1737-H
1737,I,1737-I
1737,J,1737-J
1737,K,1737-K
1737,L,1737-L
1737,M,1737-M
1737,N,1737-N
1737,O,1737-O
1738,A,1738-A
1738,B,1738-B
1738,D,1738-D
1738,E,1738-E
1738,F,1738-F
1738,G,1738-G
1738,I,1738-I
1738,J,1738-J
1738,K,1738-K
1738,L,1738-L
1738,M,1738-M
1738,N,1738-N
1739,B,1739-B
1739,C,1739-C
1739,C,1739-C
1739,D,1739-D
1739,F,1739-F
1739,G,1739-G
1739,H,1739-H
1739,K,1739-K
1739,L,1739-L
1739,N,1739-N
1741,A,1741-A
1741,C,1741-C
1741,F,1741-F
1741,H,1741-H
1741,J,1741-J
1741,L,1741-L
1741,M,1741-M
1741,N,1741-N
1743,B,1743-B
1743,D,1743-D
1743,E,1743-E
1743,G,1743-G
1743,H,1743-H
1743,I,1743-I
1743,J,1743-J
1743,L,1743-L
1743,M,1743-M
1743,O,1743-O
1745,A,1745-A
1745,D,1745-D
1745,G,1745-G
1745,H,1745-H
1745,I,1745-I
1745,J,1745-J
1745,K,1745-K
1745,M,1745-M
1745,N,1745-N
1747,A,1747-A
1747,B,1747-B
1747,C,1747-C
1747,D,1747-D
1747,E,1747-E
1747,F,1747-F
1747,H,1747-H
1747,J,1747-J
1747,K,1747-K
1747,L,1747-L
1747,O,1747-O
1748,A,1748-A
1748,B,1748-B
1748,C,1748-C
1748,D,1748-D
1748,E,1748-E
1748,F,1748-F
1748,G,1748-G
1748,H,1748-H
1748,J,1748-J
1748,K,1748-K
1748,L,1748-L
1748,M,1748-M
1748,N,1748-N
1748,O,1748-O
1750,B,1750-B
1750,C,1750-C
1750,D,1750-D
1750,F,1750-F
1750,H,1750-H
1750,J,1750-J
1750,L,1750-L
1750,N,1750-N
1751,A,1751-A
1751,A,1751-A
1751,D,1751-D
1751,E,1751-E
1751,G,1751-G
1751,J,1751-J
1751,M,1751-M
1752,A,1752-A
1752,B,1752-B
1752,D,1752-D
1752,G,1752-G
1752,H,1752-H
1752,I,1752-I
1752,J,1752-J
1752,P,1752-P
1753,A,1753-A
1753,C,1753-C
1753,D,1753-D
1753,E,1753-E
1753,F,1753-F
1753,G,1753-G
1753,H,1753-H
1753,I,1753-I
1753,J,1753-J
1753,K,1753-K
1753,L,1753-L
1753,M,1753-M
1753,N,1753-N
1753,O,1753-O
1755,A,1755-A
1755,D,1755-D
1755,E,1755-E
1755,F,1755-F
1755,G,1755-G
1755,K,1755-K
1755,L,1755-L
1755,M,1755-M
1755,N,1755-N
1757,A,1757-A
1757,B,1757-B
1757,D,1757-D
1757,F,1757-F
1757,H,1757-H
1757,K,1757-K
1757,L,1757-L
1757,M,1757-M
1757,N,1757-N
1757,O,1757-O
1758,A,1758-A
1758,B,1758-B
1758,C,1758-C
1758,D,1758-D
1758,E,1758-E
1758,F,1758-F
1758,H,1758-H
1758,J,1758-J
1758,L,1758-L
1758,O,1758-O
1759,A,1759-A
1759,B,1759-B
1759,D,1759-D
1759,E,1759-E
1759,F,1759-F
1759,G,1759-G
1759,H,1759-H
1759,I,1759-I
1759,J,1759-J
1759,K,1759-K
1759,L,1759-L
1759,M,1759-M
1759,O,1759-O
