"","ran1","Var2","Freq","Genotype"
"1","T1","1721-A",1,"1721"
"7","T3","1721-B",1,"1721"
"10","T2","1721-C",1,"1721"
"13","T1","1721-D",1,"1721"
"18","T2","1721-F",1,"1721"
"22","T2","1721-G",1,"1721"
"28","T4","1721-H",1,"1721"
"31","T3","1721-I",1,"1721"
"33","T1","1721-J",1,"1721"
"39","T3","1721-K",1,"1721"
"44","T4","1721-L",1,"1721"
"48","T4","1721-M",1,"1721"
"51","T3","1721-N",1,"1721"
"56","T4","1721-O",1,"1721"
"57","T1","1722-A",1,"1722"
"62","T2","1722-B",1,"1722"
"65","T1","1722-C",1,"1722"
"70","T2","1722-D",1,"1722"
"76","T4","1722-E",1,"1722"
"79","T3","1722-G",1,"1722"
"82","T2","1722-H",1,"1722"
"85","T1","1722-I",1,"1722"
"91","T3","1722-J",1,"1722"
"94","T2","1722-K",1,"1722"
"99","T3","1722-L",1,"1722"
"104","T4","1722-M",1,"1722"
"105","T1","1722-N",1,"1722"
"112","T4","1722-O",1,"1722"
"113","T1","1723-B",1,"1723"
"119","T3","1723-D",1,"1723"
"121","T1","1723-F",1,"1723"
"126","T2","1723-G",1,"1723"
"128","T4","1723-G",1,"1723"
"131","T3","1723-K",1,"1723"
"133","T1","1723-L",1,"1723"
"138","T2","1723-M",1,"1723"
"144","T4","1723-N",1,"1723"
"147","T3","1723-O",1,"1723"
"152","T4","1725-B",1,"1725"
"155","T3","1725-C",1,"1725"
"157","T1","1725-G",1,"1725"
"160","T4","1725-G",1,"1725"
"162","T2","1725-H",1,"1725"
"165","T1","1725-J",1,"1725"
"171","T3","1726-B",1,"1726"
"173","T1","1726-D",1,"1726"
"178","T2","1726-E",1,"1726"
"183","T3","1726-G",1,"1726"
"186","T2","1726-K",1,"1726"
"189","T1","1726-L",1,"1726"
"196","T4","1726-M",1,"1726"
"200","T4","1726-N",1,"1726"
"203","T3","1727-A",1,"1727"
"206","T2","1727-B",1,"1727"
"211","T3","1727-C",1,"1727"
"215","T3","1727-D",1,"1727"
"219","T3","1727-E",1,"1727"
