Picture,Frag ID,Genotype,file,AOI
1,1736F,1736,1736,1
1,1736O,1736,1736,2
1,1736H,1736,1736,3
1,1736J,1736,1736,4
1,1736C,1736,1736,5
1,1736N,1736,1736,6
1,1736E,1736,1736,7
1,1736B,1736,1736,8
2,1723E,1723,1723,1
2,1723F,1723,1723,2
2,1723O,1723,1723,3
2,1723N,1723,1723,4
2,1723M,1723,1723,5
2,1723I,1723,1723,6
2,1723D,1723,1723,7
2,1723K,1723,1723,8
3,1726M,1726,1726+1734m,1
3,1726B,1726,1726+1734m,2
3,1726L,1726,1726+1734m,3
3,1726K,1726,1726+1734m,4
3,1734M,1734,1726+1734m,5
3,1726G,1726,1726+1734m,6
4,1750J,1750,1722_1750,1
4,1750D,1750,1722_1750,2
4,1750H,1750,1722_1750,3
4,1722G,1722,1722_1750,4
4,1722I,1722,1722_1750,5
4,1722C,1722,1722_1750,6
4,1722D,1722,1722_1750,7
4,1750N,1750,1722_1750,8
5,1750L,1750,1750_1723,1
5,1750F,1750,1750_1723,2
5,1723G,1723,1750_1723,3
5,1750B,1750,1750_1723,4
5,1750C,1750,1750_1723,5
6,1733K,1733,1733_1743,1
6,1733H,1733,1733_1743,2
6,1733M,1733,1733_1743,3
6,1733I,1733,1733_1743,4
6,1733G,1733,1733_1743,5
6,1743H/M,1743,1733_1743,6
6,1743D,1743,1733_1743,7
7,1734L,1734,1734,1
7,1734N,1734,1734,2
7,1734H,1734,1734,3
7,1734C,1734,1734,4
7,1734O,1734,1734,5
7,1734D,1734,1734,6
7,1734G,1734,1734,7
8,1734B,1734,1734_2,1
8,1734A,1734,1734_2,2
8,1734J,1734,1734_2,3
8,1734K,1734,1734_2,4
8,1734E,1734,1734_2,5
9,1732A,1732,1732,1
9,1732C,1732,1732,2
9,1732F,1732,1732,3
9,1732O,1732,1732,4
9,1732B,1732,1732,5
9,1732D,1732,1732,6
9,1732J,1732,1732,7
10,1732H,1732,1732_2,1
10,1732K,1732,1732_2,2
10,1732L,1732,1732_2,3
10,1732E,1732,1732_2,4
10,1732I,1732,1732_2,5
10,1732G,1732,1732_2,6
10,1732N,1732,1732_2,7
10,1732E,1732,1732_2,8
11,1731G,1731,1725_1731,1
11,1731L,1731,1725_1731,2
11,1731K,1731,1725_1731,3
11,1725B,1725,1725_1731,4
11,1725E,1725,1725_1731,5
11,1725G,1725,1725_1731,6
11,1725H,1725,1725_1731,7
11,BACKGROUND,BACK,1725_1731,8
12,1731I,1731,1731,1
12,1731O,1731,1731,2
12,1731H,1731,1731,3
12,1731E,1731,1731,4
12,1731A,1731,1731,5
12,1731M,1731,1731,6
12,1731B,1731,1731,7
12,1731J,1731,1731,8
13,1739H,1739,1739,1
13,1739C,1739,1739,2
13,1739K,1739,1739,3
13,1739D,1739,1739,4
13,1739N,1739,1739,5
13,1739G,1739,1739,6
13,1739F,1739,1739,7
13,1739B,1739,1739,8
14,1753L,1753,1753_1731,1
14,1753O,1753,1753_1731,2
14,1753F,1753,1753_1731,3
14,1753J,1753,1753_1731,4
14,1753H,1753,1753_1731,5
14,1753E,1753,1753_1731,6
14,1753I,1753,1753_1731,7
14,1739L,1739,1753_1731,8
15,1721A,1721,1721,1
15,1721E,1721,1721,2
15,1721I,1721,1721,3
15,1721L,1721,1721,4
15,1721J,1721,1721,5
15,1721D,1721,1721,6
15,1721F,1721,1721,7
15,1721K,1721,1721,8
16,1721C,1721,1721_2,1
16,1721G,1721,1721_2,2
16,1721N,1721,1721_2,3
16,1721H,1721,1721_2,4
16,1721O,1721,1721_2,5
16,1721M,1721,1721_2,6
17,1753M,1753,1753,1
17,1753N,1753,1753,2
17,1753G,1753,1753,3
17,1753D,1753,1753,4
17,1753C,1753,1753,5
17,1753A,1753,1753,6
17,1753K,1753,1753,7
18,1722N,1722,1722_good,1
18,1722L,1722,1722_good,2
18,1722B,1722,1722_good,3
18,1722M,1722,1722_good,4
18,1722H,1722,1722_good,5
18,1722O,1722,1722_good,6
18,1722E,1722,1722_good,7
18,1722J,1722,1722_good,8
18,1722K,1722,1722_good,9
18,1722A,1722,1722_good,10
19,1733C,1733,1743_1733,1
19,1733A,1733,1743_1733,2
19,1733E,1733,1743_1733,3
19,1743L,1743,1743_1733,4
19,1743M,1743,1743_1733,5
19,1743G,1743,1743_1733,6
19,1743O,1743,1743_1733,7
19,1743E,1743,1743_1733,8
19,1743B,1743,1743_1733,9
20,1755G,1755,1755,1
20,1755F,1755,1755,2
20,1755A,1755,1755,3
20,1755D,1755,1755,4
20,1755K,1755,1755,5
20,1755L,1755,1755,6
20,1755E,1755,1755,7
21,1727E,1727,1727_1751,1
21,1727K,1727,1727_1751,2
21,1727C,1727,1727_1751,3
21,1727H,1727,1727_1751,4
21,1751A,1751,1727_1751,5
21,1727I,1727,1727_1751,6
21,1727G,1727,1727_1751,7
22,1727M,1727,1727_1755,8
22,1755N,1755,1727_1755,9
22,1755M,1755,1727_1755,10
22,1727O,1727,1727_1755,11
22,1727B,1727,1727_1755,12
23,1727F,1727,1727_1735,1
23,1727J/O,1727,1727_1735,2
23,1727L,1727,1727_1735,3
23,1735L,1735,1727_1735,4
23,1735N,1735,1727_1735,5
23,1735M,1735,1727_1735,6
23,1727A,1727,1727_1735,7
23,1727D,1727,1727_1735,8
24,1745K,1745,1745,1
24,1745A,1745,1745,2
24,1745N,1745,1745,3
24,1745D,1745,1745,4
24,1745M,1745,1745,5
24,1745F,1745,1745,6
24,1745E,1745,1745,7
24,1745N,1745,1745,8
25,1735G,1735,1735,1
25,1735I,1735,1735,2
25,1735H,1735,1735,3
25,1735C,1735,1735,4
25,1735J,1735,1735,5
25,1735D,1735,1735,6
25,1735O,1735,1735,7
25,1735B,1735,1735,8
26,1735F,1735,1752_1735,1
26,1735E,1735,1752_1735,2
26,1752I,1752,1752_1735,3
26,1752J,1752,1752_1735,4
26,1752G,1752,1752_1735,5
26,1735A,1735,1752_1735,6
26,1752D,1752,1752_1735,7
26,1745I,1745,1752_1735,8
26,1745J,1745,1752_1735,9
27,1748L,1748,1748,1
27,1748N,1748,1748,2
27,1748M,1748,1748,3
27,1748C,1748,1748,4
27,1748B,1748,1748,5
27,1748G,1748,1748,6
27,Blank,Blan,1748,7
28,1748A,1748,1748_1728,1
28,1728H,1728,1748_1728,2
28,1748D,1748,1748_1728,3
28,1748J,1748,1748_1728,4
28,1748O,1748,1748_1728,5
28,Blank,Blan,1748_1728,6
29,1751D,1751,1751_1728,1
29,1751I,1751,1751_1728,2
29,1728G,1728,1751_1728,3
29,1751G,1751,1751_1728,4
29,1751,1751,1751_1728,5
29,1751H,1751,1751_1728,6
29,1751M,1751,1751_1728,7
30,1757B,1757,1757_1741_1728,1
30,1757H,1757,1757_1741_1728,2
30,1757F,1757,1757_1741_1728,3
30,1757D,1757,1757_1741_1728,4
30,1741N,1741,1757_1741_1728,5
30,1728D,1728,1757_1741_1728,6
30,1728O,1728,1757_1741_1728,7
30,1728A,1728,1757_1741_1728,8
30,1728I,1728,1757_1741_1728,9
31,1728E,1728,1728,1
31,1728B,1728,1728,2
31,1728N,1728,1728,3
31,1728C,1728,1728,4
31,1728F,1728,1728,5
31,1728L,1728,1728,6
32,1723B,1723,1723_1721_1752_1757_1725,1
32,1729M,1729,1723_1721_1752_1757_1725,2
32,1757K,1757,1723_1721_1752_1757_1725,3
32,1725C,1725,1723_1721_1752_1757_1725,4
32,1752B,1752,1723_1721_1752_1757_1725,5
33,1757N,1757,1757_1751_1732_1727_1758,1
33,1757L,1757,1757_1751_1732_1727_1758,2
33,1757E,1757,1757_1751_1732_1727_1758,3
33,1751A,1751,1757_1751_1732_1727_1758,4
33,1732M,1732,1757_1751_1732_1727_1758,5
33,1758E,1758,1757_1751_1732_1727_1758,6
33,1727N,1727,1757_1751_1732_1727_1758,7
33,1757M,1757,1757_1751_1732_1727_1758,8
33,1757O,1757,1757_1751_1732_1727_1758,9
34,1737O,1737,1737,1
34,1737E,1737,1737,2
34,1737M,1737,1737,3
34,1737K,1737,1737,4
34,1737C,1737,1737,5
34,1737A,1737,1737,6
34,1737G,1737,1737,7
34,1737B,1737,1737,8
35,1737I,1737,1737_1738,9
35,1737H,1737,1737_1738,10
35,1738F,1738,1737_1738,1
35,1738A,1738,1737_1738,2
35,1738O,1738,1737_1738,3
35,1738G,1738,1737_1738,4
35,1738D,1738,1738,4
36,1738J,1738,1738,1
36,1738B,1738,1738,2
36,1738K,1738,1738,3
36,1738M,1738,1738,4
36,1738I,1738,1738,5
36,1738L,1738,1738,6
36,1738N,1738,1738,7
36,1738E,1738,1738,8
37,1759F,1759,1759,1
37,1759O,1759,1759,2
37,1759K,1759,1759,3
37,1759M,1759,1759,4
37,1759A,1759,1759,5
37,1759D,1759,1759,6
37,1759I,1759,1759,7
37,1759G,1759,1759,8
37,1759H,1759,1759,9
38,Blank,Blan,1759_1737_1747,1
38,1759L,1759,1759_1737_1747,2
38,1759E,1759,1759_1737_1747,3
38,1759J,1759,1759_1737_1747,4
38,1737D,1737,1759_1737_1747,5
38,1737N,1737,1759_1737_1747,6
38,1737J,1737,1759_1737_1747,7
38,1747G,1747,1759_1737_1747,8
39,1759B,1759,1747_1759,1
39,1747C,1747,1747_1759,2
39,1747H,1747,1747_1759,3
39,1747I,1747,1747_1759,4
39,1747E,1747,1747_1759,5
39,1747L,1747,1747_1759,6
39,1747B,1747,1747_1759,7
39,1747O,1747,1747_1759,8
40,1737L,1737,1729_1737,1
40,1737F,1737,1729_1737,2
40,1729G,1729,1729_1737,3
40,1729B,1729,1729_1737,4
40,1729A,1729,1729_1737,5
40,1729E,1729,1729_1737,6
40,1729K,1729,1729_1737,7
41,1729O,1729,1729_1747,1
41,1729D,1729,1729_1747,2
41,1747A,1747,1729_1747,3
41,1747F,1747,1729_1747,4
41,1747K,1747,1729_1747,5
41,1729J,1729,1729_1747,6
41,1747J,1747,1729_1747,7
