,Var2,T1 - Top Left,T2 - Top Right,T3 - Bottom Right
1,,0,1,0
2,1721,5,5,5
3,1722,5,4,5
4,1723,3,4,3
5,1725,2,2,2
6,1726,2,2,2
7,1727,5,5,5
8,1728,4,4,5
9,1729,3,3,3
10,1730,1,0,0
11,1731,4,3,4
12,1732,5,6,5
13,1733,3,3,3
14,1734,4,5,4
15,1735,5,4,5
16,1736,3,3,3
17,1737,5,5,5
18,1738,4,5,4
19,1739,3,3,4
20,1741,3,3,2
21,1743,3,4,3
22,1745,4,4,4
23,1747,4,4,4
24,1748,4,4,4
25,1750,3,2,3
26,1751,3,3,2
27,1752,3,3,3
28,1753,4,5,5
29,1755,3,3,3
30,1757,3,3,5
31,1758,3,3,4
32,1759,4,5,4
33,Blan,1,1,2
,,,,
,total,110,112,113
