Picture,FragID,Genotype,file,AOI,Tank
1,1732E,1732,01_1732_1721,1,T1
1,1721J,1721,01_1732_1721,2,T1
1,1741L,1741,01_1732_1721,3,T1
1,1732H,1732,01_1732_1721,4,T1
1,1729M,1729,01_1732_1721,5,T1
1,1747G,1747,01_1732_1721,6,T1
1,1722J,1722,01_1732_1721,7,T1
2,1721H,1721,02_1721_1734,1,T1
2,1734O,1734,02_1721_1734,2,T1
2,1736A,1736,02_1721_1734,3,T1
2,1731J,1731,02_1721_1734,4,T1
2,1735E,1735,02_1721_1734,5,T1
2,1721N,1721,02_1721_1734,6,T1
2,1745F,1745,02_1721_1734,7,T1
2,1758A,1758,02_1721_1734,8,T1
2,1745G,1745,02_1721_1734,9,T1
2,1743M,1743,02_1721_1734,10,T1
3,1723O,1723,03_1723_1745,1,T1
3,1745J,1745,03_1723_1745,2,T1
3,1737K,1737,03_1723_1745,3,T1
3,1727O,1727,03_1723_1745,4,T1
3,1732O,1732,03_1723_1745,5,T1
3,1753N,1753,03_1723_1745,6,T1
3,1752J,1752,03_1723_1745,7,T1
3,1737A,1737,03_1723_1745,8,T1
4,1733K,1733,04_1733_1758,1,T1
4,1758B,1758,04_1733_1758,2,T1
4,1735B,1735,04_1733_1758,3,T1
4,1759B,1759,04_1733_1758,4,T1
4,1729G,1729,04_1733_1758,5,T1
4,1747O,1747,04_1733_1758,6,T1
4,1758O,1758,04_1733_1758,7,T1
4,1753A,1753,04_1733_1758,8,T1
4,1748K,1748,04_1733_1758,9,T1
5,1732G,1732,05_1733_1728,1,T1
5,1728H,1728,05_1733_1728,2,T1
5,1731G,1731,05_1733_1728,3,T1
5,1753K,1753,05_1733_1728,4,T1
5,1732A,1732,05_1733_1728,5,T1
5,1722I,1722,05_1733_1728,6,T1
5,1737B,1737,05_1733_1728,7,T1
6,1734H,1734,06_1734_1730,1,T1
6,1730G,1730,06_1734_1730,2,T1
6,1759A,1759,06_1734_1730,3,T1
6,1735O,1735,06_1734_1730,4,T1
6,1722G,1722,06_1734_1730,5,T1
6,1750B,1750,06_1734_1730,6,T1
6,1728I,1728,06_1734_1730,7,T1
6,17BLANK,17BL,06_1734_1730,8,T1
7,1738A,1738,07_1738_1723,1,T1
7,1723F,1723,07_1738_1723,2,T1
7,1750H,1750,07_1738_1723,3,T1
7,1727N,1727,07_1738_1723,4,T1
7,1737M,1737,07_1738_1723,5,T1
7,1735G,1735,07_1738_1723,6,T1
7,1731L,1731,07_1738_1723,7,T1
7,1723N,1723,07_1738_1723,8,T1
7,17BLANK,17BL,07_1738_1723,9,T1
8,1725B,1725,08_1725_1739,1,T1
8,1739B,1739,08_1725_1739,2,T1
8,1757O,1757,08_1725_1739,3,T1
8,1755G,1755,08_1725_1739,4,T1
8,1751B,1751,08_1725_1739,5,T1
8,1752H,1752,08_1725_1739,6,T1
8,1748M,1748,08_1725_1739,7,T1
9,1722D,1722,09_1732_1741,1,T1
9,1741F,1741,09_1732_1741,2,T1
9,1739F,1739,09_1732_1741,3,T1
9,1755D,1755,09_1732_1741,4,T1
9,1759L,1759,09_1732_1741,5,T1
9,1739C,1739,09_1732_1741,6,T1
9,1734C,1734,09_1732_1741,7,T1
9,1721O,1721,09_1732_1741,8,T1
9,1738E,1738,09_1732_1741,9,T1
10,1727I,1727,10_1727_1750,1,T1
10,1750N,1750,10_1727_1750,2,T1
10,1737F,1737,10_1727_1750,3,T1
10,1731M,1731,10_1727_1750,4,T1
10,1736H,1736,10_1727_1750,5,T1
10,1753G,1753,10_1727_1750,6,T1
10,1745I,1745,10_1727_1750,7,T1
10,1759H,1759,10_1727_1750,8,T1
10,1736E,1736,10_1727_1750,9,T1
10,1727G,1727,10_1727_1750,10,T1
11,1735D,1735,11_1735_1733,1,T1
11,1733E,1733,11_1735_1733,2,T1
11,1741A,1741,11_1735_1733,3,T1
11,1748A,1748,11_1735_1733,4,T1
11,1751H,1751,11_1735_1733,5,T1
11,1747L,1747,11_1735_1733,6,T1
11,1727L,1727,11_1735_1733,7,T1
12,1729A,1729,12_1729_1757,1,T1
12,1757E,1757,12_1729_1757,2,T1
12,1748D,1748,12_1729_1757,3,T1
12,1728F,1728,12_1729_1757,4,T1
12,1751D,1751,12_1729_1757,5,T1
12,1731A,1731,12_1729_1757,6,T1
13,1757D,1757,13_1757_1738,1,T1
13,1738L,1738,13_1757_1738,2,T1
13,1726M,1726,13_1757_1738,3,T1
13,1734J,1734,13_1757_1738,4,T1
13,1722C,1722,13_1757_1738,5,T1
13,1738F,1738,13_1757_1738,6,T1
14,1732E,1732,14_1732_1726,1,T2
14,1726K,1726,14_1732_1726,2,T2
14,1732F,1732,14_1732_1726,3,T2
14,1748L,1748,14_1732_1726,4,T2
14,1753M,1753,14_1732_1726,5,T2
14,1721A,1721,14_1732_1726,6,T2
14,1721M,1721,14_1732_1726,7,T2
15,1757F,1757,15_1757_1733,1,T2
15,1733O,1733,15_1757_1733,2,T2
15,1758D,1758,15_1757_1733,3,T2
15,1755F,1755,15_1757_1733,4,T2
15,1728G,1728,15_1757_1733,5,T2
15,1727K,1727,15_1757_1733,6,T2
15,1750D,1750,15_1757_1733,7,T2
15,1753F,1753,15_1757_1733,8,T2
15,1739K,1739,15_1757_1733,9,T2
16,1734H,1734,16_1739_1741,1,T2
16,1741C,1741,16_1739_1741,2,T2
16,1725G,1725,16_1739_1741,3,T2
16,1759D,1759,16_1739_1741,4,T2
16,1759J,1759,16_1739_1741,5,T2
16,1725H,1725,16_1739_1741,6,T2
16,1738O,1738,16_1739_1741,7,T2
17,1755H,1755,17_1755_1727,1,T2
17,1727E,1727,17_1755_1727,2,T2
17,1759G,1759,17_1755_1727,3,T2
17,1738N,1738,17_1755_1727,4,T2
17,1747B,1747,17_1755_1727,5,T2
17,1748B,1748,17_1755_1727,6,T2
18,1723M,1723,18_1723_1728,1,T2
18,1728N,1728,18_1723_1728,2,T2
18,1728B,1728,18_1723_1728,3,T2
18,1752P,1752,18_1723_1728,4,T2
18,1751J,1751,18_1723_1728,5,T2
18,1731J,1731,18_1723_1728,6,T2
18,1751M,1751,18_1723_1728,7,T2
19,1743B,1743,19_1743_1743,1,T2
19,1743E,1743,19_1743_1743,2,T2
19,1738I,1738,19_1743_1743,3,T2
19,1751A,1751,19_1743_1743,4,T2
19,1758J,1758,19_1743_1743,5,T2
19,1759I,1759,19_1743_1743,6,T2
19,1759E,1759,19_1743_1743,7,T2
19,1752G,1752,19_1743_1743,8,T2
19,1736F,1736,19_1743_1743,9,T2
20,1751K,1751,20_1759_1727,1,T2
20,1727M,1727,20_1759_1727,2,T2
20,1753E,1753,20_1759_1727,3,T2
20,1748C,1748,20_1759_1727,4,T2
20,1737G,1737,20_1759_1727,5,T2
20,1732C,1732,20_1759_1727,6,T2
20,1747K,1747,20_1759_1727,7,T2
20,1727C,1727,20_1759_1727,8,T2
21,1737C,1737,21_1737_1726,1,T2
21,1726E,1726,21_1737_1726,2,T2
21,1733A,1733,21_1737_1726,3,T2
21,1721D,1721,21_1737_1726,4,T2
21,1736N,1736,21_1737_1726,5,T2
21,1747E,1747,21_1737_1726,6,T2
21,1732D,1732,21_1737_1726,7,T2
22,1753C,1753,22_1753_1758,1,T2
22,1758E,1758,22_1753_1758,2,T2
22,1727H,1727,22_1753_1758,3,T2
22,1733M,1733,22_1753_1758,4,T2
22,1743L,1743,22_1753_1758,5,T2
22,1752D,1752,22_1753_1758,6,T2
22,1747H,1747,22_1753_1758,7,T2
23,1723K,1723,23_1723_1743,1,T2
23,1743G,1743,23_1723_1743,2,T2
23,1737O,1737,23_1723_1743,3,T2
23,1750J,1750,23_1723_1743,4,T2
23,1722L,1722,23_1723_1743,5,T2
23,1729O,1729,23_1723_1743,6,T2
23,1745N,1745,23_1723_1743,7,T2
23,1734D,1734,23_1723_1743,8,T2
23,1731O,1731,23_1723_1743,9,T2
23,17BLANK,17BL,23_1723_1743,10,T2
24,1755M,1755,24_1755_1738,1,T2
24,1738J,1738,24_1755_1738,2,T2
24,1732J,1732,24_1755_1738,3,T2
24,1721B,1721,24_1755_1738,4,T2
24,1745L,1745,24_1755_1738,5,T2
24,1748H,1748,24_1755_1738,6,T2
24,1757N,1757,24_1755_1738,7,T2
25,1735N,1735,25_1735_1734,1,T2
25,1734K,1734,25_1735_1734,2,T2
25,1721E,1721,25_1735_1734,3,T2
25,1732M,1732,25_1735_1734,4,T2
25,1722N,1722,25_1735_1734,5,T2
25,1729E,1729,25_1735_1734,6,T2
25,1745D,1745,25_1735_1734,7,T2
25,1741H,1741,25_1735_1734,8,T2
25,1722B,1722,25_1735_1734,9,T2
25,17BLANK,17BL,25_1735_1734,10,T2
26,1735L,1735,26_1735_1757,1,T2
26,1757M,1757,26_1735_1757,2,T2
26,1735H,1735,26_1735_1757,3,T2
26,1734B,1734,26_1735_1757,4,T2
26,1741J,1741,26_1735_1757,5,T2
26,1731H,1731,26_1735_1757,6,T2
27,1734N,1734,27_1734_1728,1,T2
27,1728D,1728,27_1734_1728,2,T2
27,1723E,1723,27_1734_1728,3,T2
27,17BLANK,17BL,27_1734_1728,4,T2
28,1735I,1735,28_1735_1735,1,T3
28,1735F,1735,28_1735_1735,2,T3
28,1739O,1739,28_1735_1735,3,T3
28,1733C,1733,28_1735_1735,4,T3
28,1752N,1752,28_1735_1735,5,T3
28,1721L,1721,28_1735_1735,6,T3
28,1728A,1728,28_1735_1735,7,T3
29,1734G,1734,29_1734_1737,1,T3
29,1737H,1737,29_1734_1737,2,T3
29,1721I,1721,29_1734_1737,3,T3
29,1759O,1759,29_1734_1737,4,T3
29,1736J,1736,29_1734_1737,5,T3
29,1732K,1732,29_1734_1737,6,T3
29,1745H,1745,29_1734_1737,7,T3
29,1726L,1726,29_1734_1737,8,T3
29,1753H,1753,29_1734_1737,9,T3
29,1753L,1753,29_1734_1737,10,T3
30,1734A,1734,30_1739_1734,1,T3
30,1734E,1734,30_1739_1734,2,T3
