Picture,FragID,Genotype,file,AOI,Tank
1,1734J,1734,00001 1734_1734,1,T1
1,1734O,1734,00001 1734_1734,2,T1
1,1759B,1759,00001 1734_1734,3,T1
1,1748D,1748,00001 1734_1734,4,T1
1,1738F,1738,00001 1734_1734,5,T1
1,1731A,1731,00001 1734_1734,6,T1
1,1757D,1757,00001 1734_1734,7,T1
1,1757E,1757,00001 1734_1734,8,T1
2,1736A,1736,00002 1734_1721,1,T1
2,1721N,1721,00002 1734_1721,2,T1
2,1732E,1732,00002 1734_1721,3,T1
2,1743J,1743,00002 1734_1721,4,T1
2,1737K,1737,00002 1734_1721,5,T1
2,1735B,1735,00002 1734_1721,6,T1
2,1732H,1732,00002 1734_1721,7,T1
2,1753N,1753,00002 1734_1721,8,T1
2,1745G,1745,00002 1734_1721,9,T1
2,1729M,1729,00002 1734_1721,10,T1
3,1745J,1745,00003 1745_1758,1,T1
3,1758A,1758,00003 1745_1758,2,T1
3,1723O,1723,00003 1745_1758,3,T1
3,1747G,1747,00003 1745_1758,4,T1
3,1732O,1732,00003 1745_1758,5,T1
3,1737A,1737,00003 1745_1758,6,T1
3,1727O,1727,00003 1745_1758,7,T1
3,1745F,1745,00003 1745_1758,8,T1
3,1747O,1747,00003 1745_1758,9,T1
3,1721H,1721,00003 1745_1758,10,T1
4,1735D,1735,00004 1735_1733,1,T1
4,1733E,1733,00004 1735_1733,2,T1
4,1722C,1722,00004 1735_1733,3,T1
4,1727L,1727,00004 1735_1733,4,T1
4,1726M,1726,00004 1735_1733,5,T1
4,1738L,1738,00004 1735_1733,6,T1
4,1741A,1741,00004 1735_1733,7,T1
5,1732A,1732,00005 1732_1728,1,T1
5,1728H,1728,00005 1732_1728,2,T1
5,1729G,1729,00005 1732_1728,3,T1
5,1722I,1722,00005 1732_1728,4,T1
5,1731G,1731,00005 1732_1728,5,T1
5,1732G,1732,00005 1732_1728,6,T1
6,1722J,1722,00006 1722_1735,1,T1
6,1735E,1735,00006 1722_1735,2,T1
6,1752J,1752,00006 1722_1735,3,T1
6,1758B,1758,00006 1722_1735,4,T1
6,1733K,1733,00006 1722_1735,5,T1
6,1748K,1748,00006 1722_1735,6,T1
6,1721J,1721,00006 1722_1735,7,T1
6,1737B,1737,00006 1722_1735,8,T1
7,1750B,1750,00007 1750_1753,1,T1
7,1753A,1753,00007 1750_1753,2,T1
7,1759A,1759,00007 1750_1753,3,T1
7,1741F,1741,00007 1750_1753,4,T1
