24/05/2017 Sampling Time 0,,
,,
Sample Tank,Genotypes,ID
T1 - Top Left,1721,G
T1 - Top Left,1725,E
T1 - Top Left,1726,B
T1 - Top Left,1728,J
T1 - Top Left,1733,G
T1 - Top Left,1743,D
T1 - Top Left,1747,C
T1 - Top Left,1752,B
T1 - Top Left,1755,E
T1 - Top Left,1757,L
T2 - Top Right,1722,H
T2 - Top Right,1729,J
T2 - Top Right,1730,
T2 - Top Right,1735,M
T2 - Top Right,1736,C
T2 - Top Right,1737,J
T2 - Top Right,1738,G
T2 - Top Right,1739,N
T2 - Top Right,1745,A
T2 - Top Right,1751,G
T2 - Top Right,1753,D
T3 - Bottom Right,1723,B
T3 - Bottom Right,1727,F
T3 - Bottom Right,1731,K
T3 - Bottom Right,1732,B
T3 - Bottom Right,1734,M
T3 - Bottom Right,1741,M
T3 - Bottom Right,1748,N
T3 - Bottom Right,1750,C
T3 - Bottom Right,1758,C
T3 - Bottom Right,1759,D
