09/06/2017 Sampling Time 2,,,
,,,
Tank,Genotypes,ID,NEXT SAMPPLE TANK
T3- BOTTOM RIGHT,1721,I,T1- TOP LEFT
T1- TOP LEFT,1722,G,T2-TOP RIGHT
T2-TOP RIGHT,1723,,T2-TOP RIGHT
T3- BOTTOM RIGHT,1725,,T3- BOTTOM RIGHT
T3- BOTTOM RIGHT,1726,,T3- BOTTOM RIGHT
T2-TOP RIGHT,1727,E,T3- BOTTOM RIGHT
T3- BOTTOM RIGHT,1728,C,T1- TOP LEFT
T1- TOP LEFT,1729,,T1- TOP LEFT
,1730,,
T2-TOP RIGHT,1731,H,T3- BOTTOM RIGHT
T2-TOP RIGHT,1732,D,T3- BOTTOM RIGHT
T3- BOTTOM RIGHT,1733,,T3- BOTTOM RIGHT
T2-TOP RIGHT,1734,K,T3- BOTTOM RIGHT
T1- TOP LEFT,1735,E,T2-TOP RIGHT
T1- TOP LEFT,1736,,T1- TOP LEFT
T1- TOP LEFT,1737,F,T2-TOP RIGHT
T1- TOP LEFT,1738,F,T2-TOP RIGHT
T1- TOP LEFT,1739,,T1- TOP LEFT
T2-TOP RIGHT,1741,,T2-TOP RIGHT
T3- BOTTOM RIGHT,1743,I,T1- TOP LEFT
T1- TOP LEFT,1745,G,T2-TOP RIGHT
T3- BOTTOM RIGHT,1747,A,T1- TOP LEFT
T2-TOP RIGHT,1748,B,T3- BOTTOM RIGHT
T2-TOP RIGHT,1750,,T2-TOP RIGHT
T1- TOP LEFT,1751,,T1- TOP LEFT
T3- BOTTOM RIGHT,1752,,T3- BOTTOM RIGHT
T1- TOP LEFT,1753,A,T2-TOP RIGHT
T3- BOTTOM RIGHT,1755,,T3- BOTTOM RIGHT
T3- BOTTOM RIGHT,1757,H,T1- TOP LEFT
T2-TOP RIGHT,1758,J,T3- BOTTOM RIGHT
T2-TOP RIGHT,1759,J,T3- BOTTOM RIGHT
