16/06/2017 Sampling Time 3,,,,,,,,
,,,,,,,,
Tank,Genotypes,ID,,Wrong or Unaccounted For,,,,
T1- TOP LEFT,1721,H,,1744J,,1721H,21H,H
T2-TOP RIGHT,1722,N,,1752H,,1722N,22N,N
T2-TOP RIGHT,1723,K,,,,1723K,23K,K
T3- BOTTOM RIGHT,1725,J,,,,1725J,25J,J
T3- BOTTOM RIGHT,1726,L,,,,1726L,26L,L
T3- BOTTOM RIGHT,1727,A,,,,1727A,27A,A
T1- TOP LEFT,1728,H,,,,1728H,28H,H
T1- TOP LEFT,1729,G,,,,1729G,29G,G
,1730,,,,,17,,
T3- BOTTOM RIGHT,1731,I,,,,1731I,31I,I
T3- BOTTOM RIGHT,1732,I,,,,1732I,32I,I
T3- BOTTOM RIGHT,1733,I,,,,1733I,33I,I
T3- BOTTOM RIGHT,1734,A,,,,1734A,34A,A
T2-TOP RIGHT,1735,N,,,,1735N,35N,N
T1- TOP LEFT,1736,H,,,,1736H,36H,H
T2-TOP RIGHT,1737,E,,,,1737E,37E,E
T2-TOP RIGHT,1738,N,,,,17,,
T1- TOP LEFT,1739,B,,,,1739B,39B,B
T2-TOP RIGHT,1741,C,,,,1741C,41C,C
T1- TOP LEFT,1743,J,,,,1743J,43J,J
T2-TOP RIGHT,1745,N,,,,1745N,45N,N
T1- TOP LEFT,1747,L,,,,1747L,47L,L
T3- BOTTOM RIGHT,1748,O,,,,1748O,48O,O
T2-TOP RIGHT,1750,J,,,,1750J,50J,J
T1- TOP LEFT,1751,H,,,,1751H,51H,H
T3- BOTTOM RIGHT,1752,I,,,,1752I,52I,I
T2-TOP RIGHT,1753,E,,,,1753E,53E,E
T3- BOTTOM RIGHT,1755,K,,,,1755K,55K,K
T1- TOP LEFT,1757,O,,,,1757O,57O,O
T3- BOTTOM RIGHT,1758,F,,,,1758F,58F,F
T3- BOTTOM RIGHT,1759,F,,,,1759F,59F,F
