21/06/2017 Sampling Time 4 @ 11;00 TO 11:30,,,
20/06/2017 FOR 1721 AND 1738,,,
Tank,Genotypes,ID,
T2- TOP RIGHT,1721,M,ON 20/6/2017 @ 10:10
T3- BOTTOM RIGHT,1722,A,
T3- BOTTOM RIGHT,1723,F,FROM T1
T1- TOP LEFT,1725,Skipped,
T1- TOP LEFT,1726,Skipped,
T1- TOP LEFT,1727,G,
T2- TOP RIGHT,1728,G,
T2- TOP RIGHT,1729,E,
,1730,,
T1- TOP LEFT,1731,L,
T1- TOP LEFT,1732,K,
T1- TOP LEFT,1733,O,
T1- TOP LEFT,1734,A,
T3- BOTTOM RIGHT,1735,J,
T2- TOP RIGHT,1736,F,
T3- BOTTOM RIGHT,1737,H,
T3- BOTTOM RIGHT,1738,B,ON 20/6/2017 @ 10:10
T2- TOP RIGHT,1739,K,
T3- BOTTOM RIGHT,1741,N,
T2- TOP RIGHT,1743,E,
T3- BOTTOM RIGHT,1745,M,
T2- TOP RIGHT,1747,K,
T1- TOP LEFT,1748,A,
T3- BOTTOM RIGHT,1750,F,
T2- TOP RIGHT,1751,M,
T1- TOP LEFT,1752,H,LABELED AS A
T3- BOTTOM RIGHT,1753,H,
T1- TOP LEFT,1755,G,
T2- TOP RIGHT,1757,N,
T1- TOP LEFT,1758,O,
T1- TOP LEFT,1759,A,
