24/06/2017 Sampling Time 5 @ 14:30,,,
,,,
Tank,Genotypes,ID,
T1- TOP LEFT,1722,J,
T1- TOP LEFT,1723,I,FROM T3
T1- TOP LEFT,1735,O,
T1- TOP LEFT,1737,B,
T1- TOP LEFT,1738,L,During T4 11:30 21/06
T1- TOP LEFT,1741,A,
T1- TOP LEFT,1745,J,
T1- TOP LEFT,1750,N,
T1- TOP LEFT,1753,K,
T2- TOP RIGHT,1725,,WAIT FOR DECLINE
T2- TOP RIGHT,1726,,WAIT FOR DECLINE
T2- TOP RIGHT,1727,K,
T2- TOP RIGHT,1731,J,
T2- TOP RIGHT,1732,F,
T2- TOP RIGHT,1733,O,
T2- TOP RIGHT,1734,B,
T2- TOP RIGHT,1748,L,
T2- TOP RIGHT,1752,G,
T2- TOP RIGHT,1755,M,
T2- TOP RIGHT,1758,E,
T2- TOP RIGHT,1759,E,
T3- BOTTOM RIGHT,1721,F, T4 11:30 21/06
T3- BOTTOM RIGHT,1728,A,
T3- BOTTOM RIGHT,1729,D,
T3- BOTTOM RIGHT,1736,B,
T3- BOTTOM RIGHT,1739,O,
T3- BOTTOM RIGHT,1743,H,
T3- BOTTOM RIGHT,1747,F,
T3- BOTTOM RIGHT,1751,B,FROM T1
T3- BOTTOM RIGHT,1757,K,
,1730,,
