  
Date	Temp	pH	pH2	Amp_3	Amp_4	Amp_5	pHx6	Tmpx6	pHx7	Tmpx7	pHx8	Tmpx8	pHx9	Tmpx9	pHx10	Tmpx10	pHx11	Tmpx11	pHx12	Tmpx12	pHx13	Tmpx13	pHx14	Tmpx14	pHx15	Tmpx15	pHx16	Tmpx16	pHx17	Tmpx17	pHx19	Tmpx19	pHx20	Tmpx20	pHx21	Tmpx21
00:00 05/13/2017	-6.2	4.49	6.02	0.9	2.6	4.0	4.58	23.7	8.02	26.3	5.44	23.8	4.75	26.1	6.35	25.8	2.91	26.7	5.24	26.2	6.66	27.4	5.33	40.2	2.15	26.5	6.61	25.9	6.29	26.3	5.90	26.2	6.16	26.2	6.83	26.5
00:10 05/13/2017	-6.2	4.48	6.02	0.7	2.4	4.2	4.57	23.7	8.02	26.4	5.44	23.8	4.75	26.1	6.35	25.8	2.91	26.7	5.24	26.2	6.66	27.2	5.33	40.1	2.15	26.5	6.61	26.1	6.29	26.7	5.90	26.5	6.16	26.2	6.83	26.5
00:20 05/13/2017	-6.2	4.48	6.02	1.0	2.5	4.3	4.57	23.8	8.02	26.3	5.44	24.0	4.74	26.1	6.34	25.8	2.90	26.7	5.24	26.2	6.66	27.4	5.33	40.2	2.15	26.5	6.61	26.3	6.29	27.0	5.89	26.6	6.16	26.2	6.84	26.5
00:30 05/13/2017	-6.2	4.46	6.01	1.0	2.0	4.1	4.57	24.2	8.03	26.4	5.43	24.5	4.74	26.1	6.34	25.9	2.90	26.7	5.23	26.2	6.66	27.6	5.32	40.1	2.15	26.5	6.61	26.6	6.29	27.2	5.89	26.8	6.15	26.2	6.84	26.5
00:40 05/13/2017	-6.2	4.45	6.01	0.9	2.3	4.2	4.57	24.5	8.03	26.4	5.43	24.7	4.74	26.1	6.33	26.0	2.89	26.7	5.22	26.3	6.65	27.4	5.32	40.1	2.15	26.5	6.61	26.5	6.28	27.0	5.89	26.7	6.15	26.2	6.84	26.5
00:50 05/13/2017	-6.2	4.44	6.01	0.9	2.3	4.1	4.56	24.6	8.03	26.4	5.43	24.8	4.73	26.1	6.33	26.0	2.88	26.7	5.22	26.3	6.65	27.3	5.31	41.2	2.15	26.5	6.61	26.5	6.28	26.8	5.89	26.7	6.15	26.2	6.84	26.5
01:00 05/13/2017	-6.2	4.43	6.01	0.9	2.2	3.5	4.56	24.8	8.03	26.4	5.42	24.8	4.73	26.1	6.33	26.0	2.87	26.7	5.22	26.3	6.65	27.3	5.31	41.2	2.15	26.6	6.61	26.4	6.28	26.7	5.89	26.7	6.15	26.2	6.83	26.5
01:10 05/13/2017	-6.2	4.42	6.01	0.8	2.6	3.8	4.56	24.9	8.04	26.5	5.42	24.8	4.72	26.1	6.33	26.0	2.86	26.7	5.22	26.3	6.65	27.6	5.31	41.2	2.15	26.5	6.60	26.3	6.28	26.6	5.89	26.6	6.15	26.2	6.83	26.5
01:20 05/13/2017	-6.2	4.42	6.01	1.0	1.7	4.0	4.56	24.7	8.04	26.5	5.43	24.3	4.73	26.1	6.33	26.0	2.87	26.7	5.22	26.3	6.65	27.3	5.31	41.1	2.15	26.5	6.61	26.3	6.28	26.5	5.89	26.5	6.15	26.2	6.83	26.5
01:30 05/13/2017	-6.2	4.41	6.01	0.9	2.4	4.2	4.56	24.4	8.04	26.5	5.43	24.1	4.73	26.1	6.33	26.0	2.87	26.7	5.23	26.3	6.65	27.2	5.31	41.3	2.15	26.5	6.61	26.2	6.28	26.4	5.89	26.5	6.15	26.2	6.83	26.5
01:40 05/13/2017	-6.2	4.41	6.02	1.0	2.6	4.2	4.55	24.2	8.03	26.4	5.43	24.1	4.72	26.1	6.34	26.0	2.87	26.7	5.24	26.3	6.66	27.3	5.31	41.5	2.15	26.5	6.61	26.1	6.28	26.3	5.89	26.3	6.15	26.2	6.83	26.5
01:50 05/13/2017	-6.2	4.41	6.02	1.0	2.4	4.2	4.55	24.1	8.03	26.5	5.44	24.1	4.72	26.1	6.34	26.0	2.86	26.6	5.24	26.3	6.66	27.6	5.32	41.4	2.15	26.5	6.61	26.0	6.28	26.2	5.88	26.3	6.15	26.2	6.83	26.5
02:00 05/13/2017	-6.2	4.41	6.02	0.9	2.1	4.1	4.55	24.0	8.03	26.5	5.44	24.0	4.72	26.1	6.34	26.0	2.86	26.6	5.24	26.3	6.66	27.3	5.32	41.3	2.15	26.5	6.61	26.0	6.28	26.1	5.88	26.2	6.15	26.2	6.83	26.5
02:10 05/13/2017	-6.2	4.40	6.02	1.0	2.1	3.9	4.55	24.0	8.03	26.5	5.44	24.0	4.72	26.1	6.34	25.9	2.85	26.6	5.24	26.3	6.66	27.2	5.32	41.4	2.15	26.5	6.61	25.8	6.28	26.1	5.88	26.2	6.15	26.2	6.83	26.5
02:20 05/13/2017	-6.2	4.40	6.02	1.0	2.3	4.1	4.55	23.9	8.03	26.4	5.44	24.0	4.72	26.1	6.34	25.9	2.85	26.6	5.25	26.3	6.66	27.5	5.32	41.6	2.15	26.5	6.61	26.0	6.28	26.4	5.88	26.3	6.15	26.2	6.83	26.5
02:30 05/13/2017	-6.2	4.39	6.02	0.9	2.4	4.2	4.54	23.9	8.03	26.4	5.44	24.0	4.72	26.1	6.34	25.9	2.84	26.6	5.25	26.2	6.66	27.6	5.32	41.5	2.15	26.5	6.60	26.2	6.28	26.7	5.88	26.5	6.15	26.2	6.83	26.5
02:40 05/13/2017	-6.2	4.38	6.02	0.9	2.5	4.2	4.54	23.8	8.03	26.4	5.45	23.9	4.71	26.1	6.34	25.9	2.84	26.6	5.25	26.2	6.66	27.3	5.32	41.4	2.15	26.5	6.61	26.4	6.28	27.0	5.88	26.7	6.14	26.2	6.83	26.4
02:50 05/13/2017	-6.2	4.38	6.02	1.0	2.7	4.0	4.54	23.8	8.03	26.4	5.45	23.9	4.71	26.1	6.34	25.8	2.84	26.6	5.25	26.2	6.66	27.2	5.32	41.6	2.15	26.5	6.61	26.6	6.28	27.1	5.88	26.8	6.14	26.2	6.83	26.4
03:00 05/13/2017	-6.2	4.38	6.02	0.8	2.4	4.1	4.54	23.8	8.03	26.4	5.45	23.9	4.71	26.1	6.34	25.8	2.83	26.6	5.25	26.2	6.66	27.5	5.32	41.5	2.15	26.4	6.61	26.5	6.28	26.8	5.88	26.7	6.14	26.2	6.83	26.4
03:10 05/13/2017	-6.2	4.37	6.02	0.9	2.4	3.3	4.54	23.8	8.03	26.3	5.45	23.8	4.71	26.1	6.34	25.8	2.83	26.6	5.24	26.2	6.66	27.6	5.32	41.3	2.15	26.4	6.61	26.3	6.28	26.7	5.88	26.6	6.14	26.2	6.84	26.4
03:20 05/13/2017	-6.2	4.36	6.02	1.0	2.5	4.3	4.53	23.8	8.03	26.3	5.45	23.8	4.70	26.1	6.34	25.8	2.82	26.6	5.24	26.2	6.66	27.3	5.32	40.7	2.15	26.4	6.61	26.3	6.28	26.6	5.87	26.6	6.14	26.2	6.84	26.4
03:30 05/13/2017	-6.2	4.36	6.02	1.0	2.5	4.2	4.53	23.8	8.03	26.3	5.45	23.8	4.70	26.1	6.34	25.8	2.82	26.6	5.25	26.2	6.66	27.3	5.32	40.8	2.15	26.4	6.60	26.2	6.28	26.4	5.87	26.5	6.13	26.2	6.84	26.4
03:40 05/13/2017	-6.2	4.35	6.02	1.0	2.6	4.3	4.53	23.7	8.03	26.3	5.45	23.8	4.70	26.0	6.34	25.8	2.82	26.5	5.25	26.2	6.66	27.6	5.33	40.7	2.15	26.4	6.61	26.0	6.28	26.3	5.87	26.4	6.13	26.2	6.84	26.3
03:50 05/13/2017	-6.2	4.34	6.02	0.9	2.0	3.9	4.53	23.7	8.03	26.3	5.46	23.8	4.70	26.0	6.34	25.8	2.81	26.5	5.25	26.2	6.66	27.5	5.33	40.8	2.15	26.3	6.60	26.0	6.28	26.2	5.87	26.3	6.13	26.2	6.84	26.3
04:00 05/13/2017	-6.2	4.34	6.01	1.0	2.4	4.2	4.52	23.7	8.03	26.3	5.46	23.8	4.70	26.0	6.34	25.8	2.81	26.5	5.24	26.2	6.66	27.2	5.33	40.9	2.15	26.3	6.61	25.8	6.28	26.1	5.87	26.2	6.13	26.1	6.84	26.3
04:10 05/13/2017	-6.2	4.33	6.01	1.0	2.4	4.2	4.52	23.8	8.03	26.3	5.46	23.8	4.69	26.1	6.34	25.8	2.80	26.5	5.24	26.2	6.66	27.5	5.33	41.0	2.15	26.4	6.60	25.8	6.28	26.2	5.87	26.2	6.12	26.2	6.84	26.3
04:20 05/13/2017	-6.2	4.32	6.01	0.9	2.2	4.3	4.52	24.0	8.04	26.4	5.46	24.0	4.69	26.1	6.34	25.9	2.79	26.6	5.24	26.2	6.66	27.6	5.33	40.9	2.15	26.4	6.60	26.1	6.28	26.5	5.87	26.4	6.12	26.2	6.84	26.3
04:30 05/13/2017	-6.2	4.31	6.01	0.9	2.6	4.0	4.52	24.0	8.04	26.4	5.45	24.0	4.68	26.2	6.33	26.0	2.78	26.6	5.24	26.2	6.66	27.4	5.33	40.7	2.15	26.4	6.60	26.3	6.28	26.8	5.87	26.6	6.12	26.2	6.84	26.4
04:40 05/13/2017	-6.2	4.30	6.01	1.0	2.3	4.1	4.51	24.2	8.04	26.5	5.45	24.0	4.68	26.2	6.33	26.0	2.78	26.6	5.23	26.3	6.66	27.3	5.32	41.8	2.15	26.5	6.60	26.6	6.28	27.2	5.87	26.8	6.11	26.2	6.85	26.4
04:50 05/13/2017	-6.2	4.29	6.01	1.0	2.3	3.4	4.51	24.2	8.04	26.5	5.45	24.1	4.68	26.2	6.33	26.1	2.78	26.6	5.23	26.3	6.65	27.3	5.32	41.0	2.15	26.5	6.60	26.6	6.27	27.1	5.87	26.8	6.11	26.2	6.85	26.4
05:00 05/13/2017	-6.2	4.29	6.01	0.9	2.3	4.1	4.51	24.3	8.04	26.5	5.45	24.2	4.68	26.2	6.33	26.1	2.77	26.6	5.22	26.3	6.65	27.6	5.31	41.9	2.15	26.6	6.60	26.6	6.27	27.0	5.87	26.8	6.11	26.2	6.85	26.4
05:10 05/13/2017	-6.2	4.28	6.01	0.9	2.5	4.1	4.51	24.5	8.05	26.6	5.45	24.4	4.67	26.3	6.32	26.2	2.76	26.6	5.22	26.3	6.65	27.5	5.31	41.8	2.15	26.6	6.60	26.6	6.27	26.8	5.86	26.8	6.11	26.2	6.85	26.4
05:20 05/13/2017	-6.2	4.27	6.01	0.9	2.5	3.8	4.50	24.6	8.05	26.6	5.44	24.5	4.67	26.3	6.32	26.2	2.76	26.7	5.22	26.4	6.65	27.3	5.31	41.7	2.15	26.6	6.60	26.5	6.27	26.7	5.86	26.7	6.11	26.2	6.85	26.5
05:30 05/13/2017	-6.2	4.26	6.01	0.9	1.9	3.9	4.50	24.6	8.05	26.6	5.44	24.5	4.67	26.3	6.32	26.2	2.76	26.7	5.22	26.4	6.65	27.2	5.31	41.8	2.15	26.6	6.59	26.5	6.27	26.6	5.86	26.7	6.11	26.3	6.85	26.5
