






Date	Temp	pH	pH2	Amp_3	Amp_4	Amp_5	pHx6	Tmpx6	pHx7	Tmpx7	pHx8	Tmpx8	pHx9	Tmpx9	pHx10	Tmpx10	pHx11	Tmpx11	pHx12	Tmpx12	pHx13	Tmpx13	pHx14	Tmpx14	pHx15	Tmpx15	pHx16	Tmpx16	pHx17	Tmpx17	pHx19	Tmpx19	pHx20	Tmpx20	pHx21	Tmpx21	pHx23	Tmpx23
00:00 05/25/2017	-6.2	2.60	6.04	0.7	2.5	4.1	3.67	24.2	8.00	26.0	5.43	26.3	3.13	26.0	6.40	25.8	2.15	26.2	5.42	26.2	6.45	31.5	5.23	46.2	2.15	26.2	6.51	26.9	6.09	27.2	5.27	28.1	6.24	25.2	6.66	25.5	5.37	27.1
00:10 05/25/2017	-6.2	2.60	6.04	0.6	2.8	3.6	3.67	24.2	8.00	26.0	5.43	26.2	3.13	26.0	6.40	25.8	2.15	26.2	5.42	26.2	6.45	31.6	5.23	46.5	2.15	26.2	6.51	26.9	6.10	27.2	5.27	28.1	6.24	25.2	6.66	25.5	5.37	27.0
00:20 05/25/2017	-6.2	2.60	6.04	0.7	2.9	4.2	3.67	24.2	8.00	26.0	5.43	26.2	3.13	25.9	6.40	25.8	2.15	26.2	5.42	26.2	6.45	31.6	5.23	46.6	2.15	26.2	6.51	26.8	6.10	27.0	5.27	27.9	6.24	25.2	6.66	25.5	5.37	26.9
00:30 05/25/2017	-6.2	2.60	6.04	0.7	3.0	4.0	3.67	24.2	8.00	26.0	5.43	26.2	3.13	25.9	6.40	25.8	2.15	26.2	5.42	26.2	6.45	31.5	5.23	46.2	2.15	26.2	6.51	26.6	6.10	26.9	5.27	27.7	6.24	25.2	6.67	25.5	5.37	26.8
00:40 05/25/2017	-6.2	2.60	6.04	0.6	2.8	4.1	3.67	24.1	8.00	26.0	5.43	26.2	3.13	25.8	6.40	25.7	2.15	26.1	5.42	26.2	6.46	31.4	5.24	46.3	2.15	26.2	6.51	26.5	6.10	26.7	5.27	27.5	6.24	25.2	6.67	25.5	5.37	26.7
00:50 05/25/2017	-6.2	2.60	6.04	0.6	2.7	3.9	3.68	24.1	8.01	26.0	5.44	26.1	3.13	25.8	6.40	25.7	2.15	26.1	5.42	26.2	6.46	31.6	5.24	46.5	2.15	26.2	6.51	26.5	6.10	26.6	5.27	27.3	6.24	25.2	6.67	25.5	5.38	26.6
01:00 05/25/2017	-6.2	2.60	6.04	0.6	2.7	3.6	3.68	24.1	8.01	26.0	5.44	26.3	3.13	25.8	6.40	25.7	2.15	26.2	5.42	26.2	6.46	31.7	5.24	46.7	2.15	26.2	6.51	26.3	6.10	26.5	5.27	27.2	6.24	25.2	6.67	25.5	5.38	26.5
01:10 05/25/2017	-6.2	2.60	6.04	0.6	2.9	4.1	3.68	24.1	8.01	26.0	5.44	26.8	3.13	26.0	6.39	25.8	2.15	26.5	5.42	26.2	6.46	31.6	5.24	46.7	2.15	26.2	6.51	26.2	6.10	26.3	5.27	27.1	6.23	25.2	6.67	25.4	5.38	26.4
01:20 05/25/2017	-6.2	2.60	6.04	0.6	2.8	3.8	3.68	24.1	8.01	25.9	5.44	27.2	3.13	26.1	6.39	26.0	2.15	26.7	5.42	26.2	6.46	31.5	5.24	47.0	2.15	26.2	6.51	26.1	6.10	26.3	5.27	26.9	6.23	25.2	6.68	25.4	5.38	26.3
01:30 05/25/2017	-6.2	2.60	6.04	0.6	2.9	4.2	3.67	24.1	8.01	25.9	5.44	27.1	3.13	26.1	6.39	26.1	2.15	26.7	5.42	26.2	6.46	31.6	5.24	47.0	2.15	26.2	6.51	26.2	6.10	26.3	5.27	27.1	6.24	25.2	6.68	25.4	5.38	26.4
