"Genotype" "FragCount" "FragID" "value"
"1" "1721" 14 "J, H, N, O, A, M, D, B, E, L, I, C, K, F" 2
"2" "1722" 13 "J, I, G, D, C, L, N, B, O, M, A, E, K" 2
"3" "1723" 7 "O, F, N, M, K, E, I" 2
"4" "1725" 5 "B, G, H, J, C" 2
"5" "1726" 5 "M, K, E, L, G" 2
"6" "1727" 14 "O, N, I, G, L, K, E, M, C, H, J, D, A, B" 2
"7" "1728" 11 "H, I, F, G, N, B, D, A, C, O, E" 2
"8" "1729" 8 "M, G, A, O, E, K, D, B" 2
"9" "1730" 1 "G" 2
"10" "1731" 11 "J, G, L, M, A, J, O, H, B, I, E" 2
"11" "1732" 15 "E, H, O, G, A, E, F, C, D, J, M, K, I, L, N" 2
"12" "1733" 8 "K, E, O, A, M, C, H, I" 2
"13" "1734" 13 "O, H, C, J, H, D, K, B, N, G, A, E, L" 2
"14" "1735" 13 "E, B, O, G, D, N, L, H, I, F, J, A, C" 2
"15" "1736" 8 "A, H, E, F, N, J, O, B" 2
"16" "1737" 13 "K, A, B, M, F, G, C, O, H, D, I, N, L" 2
"17" "1738" 12 "A, E, L, F, O, N, I, J, K, M, D, B" 2
"18" "1739" 7 "B, F, C, K, O, G, L" 2
"19" "1741" 7 "L, F, A, C, H, J, N" 2
"20" "1743" 8 "M, B, G, L, G, H, O, I" 2
"21" "1745" 11 "F, G, J, I, N, L, D, H, K, E, M" 2
"22" "1747" 10 "G, O, L, B, K, E, H, E, A, J" 2
"23" "1748" 11 "K, M, A, D, L, B, C, H, O, J, G" 2
"24" "1750" 7 "B, H, N, D, J, F, L" 2
"25" "1751" 8 "B, H, D, J, M, A, K, A" 2
"26" "1752" 8 "J, H, P, B, D, N, I, A" 2
"27" "1753" 13 "N, A, K, G, M, F, E, C, H, L, J, I, O" 2
"28" "1755" 8 "G, D, F, H, M, A, L, K" 2
"29" "1757" 10 "O, E, D, F, N, M, A, K, H, B" 2
"30" "1758" 9 "A, B, O, D, J, E, H, F, L" 2
"31" "1759" 12 "B, A, L, H, D, J, G, I, G, O, M, F" 2
"32" "1721" 14 "N, H, J, O, D, A, M, B, G, I, K, C, L, F" 3
"33" "1722" 12 "C, I, J, G, D, L, N, B, M, A, E, K" 3
"34" "1723" 7 "O, N, F, M, E, K, I" 3
"35" "1725" 5 "B, H, G, J, C" 3
"36" "1726" 5 "M, K, E, L, G" 3
"37" "1727" 13 "O, L, G, N, I, E, M, C, H, K, A, J, B" 3
"38" "1728" 12 "H, F, I, N, B, G, D, L, C, O, A, G" 3
"39" "1729" 8 "M, G, A, E, O, K, D, B" 3
"40" "1730" 1 "G" 3
"41" "1731" 10 "A, G, M, L, J, O, H, I, E, B" 3
"42" "1732" 16 "E, H, O, A, G, E, C, D, F, M, J, I, N, O, L, K" 3
"43" "1733" 8 "E, K, M, A, O, H, C, I" 3
"44" "1734" 12 "J, O, H, C, D, N, B, K, G, A, E, L" 3
"45" "1735" 13 "B, D, E, O, G, N, L, H, A, C, F, J, I" 3
"46" "1736" 8 "A, H, E, F, N, O, B, J" 3
"47" "1737" 15 "K, A, B, F, M, E, C, G, O, H, D, I, D, N, L" 3
"48" "1738" 12 "F, L, A, E, O, N, I, J, K, M, D, B" 3
"49" "1739" 7 "B, F, C, K, H, C, C" 3
"50" "1741" 7 "A, F, L, C, H, J, N" 3
"51" "1743" 9 "J, M, B, E, L, G, H, I, O" 3
"52" "1745" 11 "G, J, F, I, N, L, D, K, H, E, M" 3
"53" "1747" 11 "G, O, L, B, K, L, H, E, A, G, J" 3
"54" "1748" 11 "D, K, A, M, B, L, C, H, O, J, G" 3
"55" "1750" 7 "B, N, H, D, J, F, L" 3
"56" "1751" 8 "D, B, H, M, A, J, K, A" 3
"57" "1752" 8 "J, A, G, P, D, N, I, A" 3
"58" "1753" 12 "N, A, K, G, F, G, M, H, L, J, I, O" 3
"59" "1755" 8 "G, D, F, M, N, A, L, K" 3
"60" "1757" 10 "D, E, O, F, M, N, K, H, A, B" 3
"61" "1758" 10 "A, B, O, J, C, D, E, L, F, H" 3
"62" "1759" 13 "B, A, L, H, D, G, I, E, J, O, M, G, F" 3
